"Title","MIC","MMGBSA dG Bind"
"5.65",16.0000,-74.950
"3.58",0.2500,-73.573
"3.44",8.0000,-72.706
"3.34",0.2500,-72.543
"4.60",8.0000,-71.449
"5.47",0.2500,-71.394
"5.53",1.0000,-71.163
"6.13",0.2500,-71.114
"3.37",1.0000,-70.951
"3.58",0.2500,-70.657
"3.25",0.2500,-70.347
"3.36",4.0000,-70.065
"3.26",0.1200,-70.061
"5.18",0.0630,-69.438
"6.5",0.0200,-69.200
"3.8",0.2500,-69.022
"3.28",8.0000,-68.824
"6.14",0.5000,-68.035
"5.63",0.0630,-67.633
"5.19",0.2500,-67.625
"5.9",0.1250,-66.973
"4.63",0.1250,-66.561
"4.80",8.0000,-66.417
"6.19",0.1300,-66.398
"6.20",16.0000,-66.297
"5.49",0.0310,-66.295
"3.50",0.0630,-66.160
"5.23",0.1250,-66.073
"5.26",0.1250,-65.899
"3.48",0.1300,-65.871
"3.38",0.2500,-65.798
"3.6",0.2500,-65.634
"3.42",4.0000,-65.606
"5.67",0.1250,-65.602
"3.47",0.2500,-65.582
"5.62",0.1250,-65.420
"6.8",0.0600,-65.342
"5.60",0.5000,-65.278
"4.65",16.0000,-65.271
"2.8",2.0000,-64.835
"5.20",1.0000,-64.774
"5.14",0.0630,-64.663
"5.45",0.0310,-64.646
"3.22",4.0000,-64.639
"3.9",1.5000,-64.538
"5.66",0.1250,-64.371
"5.61",1.0000,-63.966
"4.49",0.0630,-63.848
"6.7",4.0000,-63.797
"4.44",0.1250,-63.781
"3.43",2.0000,-63.639
"4.36",0.0310,-63.612
"4.85",64.0000,-63.597
"4.70",0.1250,-63.587
"3.12",2.0000,-63.547
"6.16",0.2500,-63.404
"3.39",2.0000,-63.357
"3.32",0.1200,-63.146
"5.17",0.0310,-63.142
"5.50",0.2500,-63.123
"5.16",0.0160,-63.076
"4.46",0.5000,-62.935
"5.5",0.5000,-62.935
"6.23",0.0300,-62.911
"3.39",2.0000,-62.717
"5.54",16.0000,-62.704
"5.28",0.2500,-62.498
"5.59",0.1250,-62.359
"3.61",16.0000,-62.218
"4.67",0.2500,-62.180
"5.52",0.0630,-62.133
"3.33",0.2500,-62.132
"4.37",0.0160,-62.132
"3.35",1.0000,-62.099
"3.29",2.0000,-62.061
"5.10",0.0630,-62.048
"5.8",0.0630,-61.906
"5.11",0.1250,-61.888
"4.51",0.0630,-61.859
"4.35",0.0080,-61.781
"5.6",0.0310,-61.613
"6.24",16.0000,-61.611
"6.21",0.0200,-61.593
"5.46",0.0630,-61.538
"4.53",0.2500,-61.530
"5.7",0.2500,-61.502
"3.12",2.0000,-61.484
"5.15",0.0310,-61.306
"3.53",4.0000,-61.255
"3.41",8.0000,-61.230
"4.54",0.5000,-61.216
"5.48",16.0000,-61.108
"3.54",0.1250,-61.047
"6.25",0.0300,-60.941
"4.78",1.0000,-60.873
"5.33",0.2500,-60.724
"3.17",1.0000,-60.641
"4.47",0.2500,-60.610
"4.41",0.0500,-60.606
"4.59",0.0630,-60.553
"4.40",0.0600,-60.513
"4.84",32.0000,-60.473
"4.48",0.5000,-60.409
"3.40",8.0000,-60.402
"3.24",2.0000,-60.400
"6.12",8.0000,-60.328
"4.45",0.0310,-60.301
"3.55",1.0000,-60.226
"4.6",0.0160,-60.155
"5.3",0.0160,-60.155
"AM8085",0.0160,-60.155
"4.52",2.0000,-60.092
"5.29",0.2500,-60.078
"3.18",0.5000,-59.994
"AM8192",0.0600,-59.990
"4.57",0.0310,-59.962
"4.38",0.0300,-59.655
"5.12",0.0630,-59.619
"4.50",16.0000,-59.617
"4.42",4.0000,-59.568
"3.11",8.0000,-59.553
"6.22",0.0300,-59.529
"3.51",0.5000,-59.527
"5.30",0.5000,-59.459
"4.58",0.0160,-59.370
"4.45",0.0310,-59.320
"6.6",0.0200,-59.295
"6.18",2.0000,-59.202
"5.21",0.0630,-59.163
"3.21",4.0000,-59.047
"3.15",0.5000,-59.025
"3.30",4.0000,-58.906
"4.64",16.0000,-58.760
"3.52",0.2500,-58.647
"3.31",8.0000,-58.491
"3.59",8.0000,-58.383
"3.10",8.0000,-58.316
"2.7",0.2500,-58.301
"3.4",0.2500,-58.301
"6.11",2.0000,-58.271
"3.15",0.5000,-58.220
"3.60",16.0000,-58.205
"3.62",2.0000,-58.096
"4.73",0.5000,-58.076
"4.75",16.0000,-57.981
"4.66",8.0000,-57.941
"3.49",0.0630,-57.915
"3.30",4.0000,-57.577
"5.13",0.0160,-57.524
"4.82",2.0000,-57.375
"3.7",0.5000,-56.987
"4.56",0.5000,-56.896
"3.52",0.2500,-56.572
"3.53",4.0000,-56.522
"3.27",8.0000,-56.353
"4.72",0.1250,-56.320
"6.9",0.5000,-55.626
"3.23",8.0000,-55.497
"4.74",4.0000,-55.476
"4.68",0.5000,-55.451
"3.14",4.0000,-55.438
"4.86",16.0000,-55.057
"5.64",8.0000,-54.982
"4.39",0.0300,-54.824
"3.31",8.0000,-54.731
"3.16",1.5000,-54.666
"3.57",1.0000,-54.567
"4.69",2.0000,-54.519
"4.77",16.0000,-53.810
"5.51",0.0630,-52.902
"3.42",4.0000,-52.768
"6.19",0.1300,-52.243
"4.61",32.0000,-52.235
"4.71",16.0000,-51.919
"4.81",1.0000,-51.441
"3.56",0.5000,-51.010
"AM8191",0.0200,-50.989
"3.45",0.5000,-50.935
"3.57",1.0000,-50.832
"4.55",1.0000,-50.590
"4.79",1.0000,-49.162
"4.87",16.0000,-48.390
"5.31",0.5000,-48.312
"6.10",1.0600,-47.780
"4.76",8.0000,-44.341
"3.46",0.2500,-41.577
"5.32",1.0000,-40.437
"4.43",0.2500,-39.245
"4.83",64.0000,-38.933
"3.13",8.0000,-33.523
"4.62",8.0000,-30.871
