"Title","MIC","docking score"
"5.65",16.0000,-9.066
"5.54",16.0000,-8.875
"5.53",1.0000,-8.643
"5.60",0.5000,-8.470
"5.52",0.0630,-8.361
"5.64",8.0000,-8.328
"5.50",0.2500,-8.061
"5.63",0.0630,-7.954
"5.51",0.0630,-7.850
"5.49",0.0310,-7.737
"5.48",16.0000,-7.715
"5.12",0.0630,-7.616
"5.59",0.1250,-7.521
"5.18",0.0630,-7.445
"5.46",0.0630,-7.129
"5.26",0.1250,-7.123
"5.9",0.1250,-6.971
"5.17",0.0310,-6.966
"5.45",0.0310,-6.945
"5.61",1.0000,-6.915
"5.19",0.2500,-6.899
"5.20",1.0000,-6.897
"5.47",0.2500,-6.856
"5.8",0.0630,-6.856
"2.7",0.2500,-6.851
"5.21",0.0630,-6.849
"5.23",0.1250,-6.840
"5.62",0.1250,-6.829
"5.31",0.5000,-6.826
"5.14",0.0630,-6.825
"5.10",0.0630,-6.824
"5.13",0.0160,-6.769
"5.11",0.1250,-6.766
"5.67",0.1250,-6.723
"5.3",0.0160,-6.666
"5.6",0.0310,-6.579
"5.66",0.1250,-6.555
"5.7",0.2500,-6.555
"5.16",0.0160,-6.552
"5.15",0.0310,-6.509
"5.5",0.5000,-6.534
"5.30",0.5000,-6.494
"AM8191",0.0200,-6.427
"5.32",1.0000,-6.211
"5.29",0.2500,-6.204
"5.33",0.2500,-6.131
"5.28",0.2500,-5.782
