"Title","MIC","docking score"
"3.12",2.0000,-8.159
"3.52",0.2500,-7.557
"3.58",0.2500,-7.228
"3.57",1.0000,-7.752
"3.31",8.0000,-6.754
"3.59",8.0000,-7.977
"3.53",4.0000,-6.982
"3.61",16.0000,-7.928
"3.12",2.0000,-7.644
"3.17",1.0000,-7.907
"3.50",0.0630,-7.891
"3.52",0.2500,-7.681
"3.43",2.0000,-7.736
"3.30",4.0000,-6.538
"3.6",0.2500,-7.613
"3.58",0.2500,-7.476
"3.44",8.0000,-7.533
"3.15",0.5000,-6.230
"3.27",8.0000,-7.394
"3.42",4.0000,-6.532
"3.28",8.0000,-7.391
"3.62",2.0000,-7.408
"3.8",0.2500,-7.345
"3.25",0.2500,-7.317
"3.54",0.1250,-7.373
"3.9",1.5000,-7.335
"3.42",4.0000,-7.186
"3.22",4.0000,-7.349
"3.60",16.0000,-7.281
"3.49",0.0630,-7.318
"3.57",1.0000,-6.771
"3.21",4.0000,-7.264
"3.51",0.5000,-7.264
"3.7",0.5000,-7.208
"3.37",1.0000,-7.217
"3.36",4.0000,-7.180
"3.48",0.1300,-7.158
"3.55",1.0000,-7.163
"3.10",8.0000,-7.095
"3.53",4.0000,-7.002
"3.56",0.5000,-7.116
"3.26",0.1200,-7.069
"3.46",0.2500,-7.038
"3.34",0.2500,-7.031
"3.23",8.0000,-6.991
"3.35",1.0000,-7.002
"3.11",8.0000,-6.970
"3.14",4.0000,-6.943
"2.8",2.0000,-6.903
"3.18",0.5000,-6.931
"3.38",0.2500,-6.899
"2.7",0.2500,-6.851
"3.4",0.2500,-6.851
"3.47",0.2500,-6.836
"3.29",2.0000,-6.836
"3.15",0.5000,-6.796
"3.24",2.0000,-6.822
"3.33",0.2500,-6.833
"3.32",0.1200,-6.831
"3.16",1.5000,-6.827
"3.31",8.0000,-6.744
"3.40",8.0000,-6.772
"3.39",2.0000,-6.397
"3.13",8.0000,-6.674
"3.41",8.0000,-6.690
"3.45",0.5000,-6.658
"3.39",2.0000,-6.104
"AM8192",0.0600,-6.511
"3.30",4.0000,-6.412
"AM8085",0.0160,-6.464
"AM8191",0.0200,-6.326
