Title,MIC,docking score
2.7,0.25,-6.877
2.8,2,-6.677
3.1,8,-6.952
3.11,8,-7.018
3.12,2,-8.397
3.12,2,-7.976
3.13,8,-8.156
3.14,4,-7.056
3.15,0.5,-6.629
3.15,0.5,-6.906
3.16,1.5,-7.033
3.17,1,-7.851
3.18,0.5,-6.799
3.21,4,-5.389
3.22,4,-5.925
3.23,8,-6.877
3.24,2,-6.452
3.25,0.25,-7.229
3.26,0.12,-7.459
3.27,8,-5.529
3.28,8,-5.934
3.29,2,-6.742
3.3,4,-6.64
3.3,4,-6.483
3.31,8,-6.849
3.31,8,-6.743
3.32,0.12,-6.808
3.33,0.25,-6.893
3.34,0.25,-6.78
3.35,1,-6.905
3.36,4,-7.106
3.37,1,-6.651
3.38,0.25,-6.899
3.39,2,-6.687
3.39,2,-6.272
3.4,0.25,-6.877
3.4,8,-6.9
3.41,8,-7.064
3.42,4,-5.57
3.42,4,-5.976
3.43,2,-5.736
3.44,8,-5.466
3.45,0.5,-6.578
3.46,0.25,-6.758
3.47,0.25,-6.789
3.48,0.13,-7.157
3.49,0.063,-7.338
3.5,0.063,-7.957
3.51,0.5,-7.427
3.52,0.25,-7.201
3.52,0.25,-6.028
3.53,4,-7.429
3.53,4,-7.371
3.54,0.125,-7.856
3.55,1,-6.958
3.56,0.5,-6.975
3.57,1,-6.497
3.57,1,-6.676
3.58,0.25,-7.214
3.58,0.25,-7.534
3.59,8,-7.586
3.6,0.25,-7.345
3.6,16,-5.961
3.61,16,-6.784
3.62,2,-7.476
3.7,0.5,-6.994
3.8,0.25,-6.994
3.9,1.5,-6.661
4.35,0.008,-6.411
4.36,0.031,-6.029
4.37,0.016,-6.672
4.38,0.03,-6.35
4.39,0.03,-6.78
4.4,0.06,-6.221
4.41,0.05,-6.21
4.42,4,-6.328
4.43,0.25,-6.518
4.44,0.125,-6.306
4.45,0.031,-5.782
4.45,0.031,-5.551
4.46,0.5,-5.925
4.47,0.25,-5.843
4.48,0.5,-6.5
4.49,0.063,-6.939
4.5,16,-7.886
4.51,0.063,-6.273
4.52,2,-5.758
4.53,0.25,-6.766
4.54,0.5,-5.332
4.55,1,-7.463
4.56,0.5,-6.575
4.57,0.031,-6.706
4.58,0.016,-6.399
4.59,0.063,-7.185
4.6,0.016,-6.445
4.6,8,-5.456
4.61,32,-5.924
4.62,8,-6.305
4.63,0.125,-7.059
4.64,16,-6.342
4.65,16,-7.121
4.66,8,-5.975
4.67,0.25,-6.554
4.68,0.5,-6.369
4.69,2,-6.27
4.7,0.125,-6.706
4.71,16,-5.301
4.72,0.125,-6.327
4.73,0.5,-6.653
4.74,4,-6.865
4.75,16,-6.409
4.76,8,-6.79
4.77,16,-7.425
4.78,1,-7.52
4.79,1,-7.391
4.8,8,-7.166
4.81,1,-7.682
4.82,2,-5.593
4.83,64,-6.914
4.84,32,-5.975
4.85,64,-5.915
4.86,16,-6.764
4.87,16,-4.928
5.1,0.063,-6.854
5.11,0.125,-6.649
5.12,0.063,-6.792
5.13,0.016,-6.768
5.14,0.063,-6.345
5.15,0.031,-6.438
5.16,0.016,-6.363
5.17,0.031,-6.905
5.18,0.063,-6.585
5.19,0.25,-6.663
5.2,1,-6.545
5.21,0.063,-6.36
5.23,0.125,-6.412
5.26,0.125,-6.497
5.28,0.25,-5.752
5.29,0.25,-6.001
5.3,0.016,-6.445
5.3,0.5,-5.913
5.31,0.5,-6.31
5.32,1,-6.305
5.33,0.25,-5.771
5.45,0.031,-6.195
5.46,0.063,-6.536
5.47,0.25,-6.994
5.48,16,-7.724
5.49,0.031,-7.277
5.5,0.25,-7.55
5.5,0.5,-5.925
5.51,0.063,-7.379
5.52,0.063,-7.913
5.53,1,-7.18
5.54,16,-8.544
5.59,0.125,-7.326
5.6,0.5,-8.254
5.6,0.031,-6.252
5.61,1,-7.324
5.62,0.125,-6.565
5.63,0.063,-7.629
5.64,8,-8.404
5.65,16,-9.077
5.66,0.125,-6.273
5.67,0.125,-6.608
5.7,0.25,-6.898
5.8,0.063,-6.921
5.9,0.125,-6.236
6.1,1.06,-5.83
6.11,2,-5.362
6.12,8,-5.365
6.13,0.25,-5.7
6.14,0.5,-6.212
6.16,0.25,-6.256
6.18,2,-6.297
6.19,0.13,-6.043
6.19,0.13,-6.464
6.2,16,-3.597
6.21,0.02,-7.558
6.22,0.03,-7.498
6.23,0.03,-6.612
6.24,16,-6.538
6.25,0.03,-7.838
6.5,0.02,-6.839
6.6,0.02,-6.51
6.7,4,-6.096
6.8,0.06,-6.29
6.9,0.5,-6.12
AM8085,0.016,-6.445
AM8191,0.02,-6.559
AM8192,0.06,-6.441
