"Title","MIC","MMGBSA dG Bind"
"2.7",0.2500,-59.285
"2.8",2.0000,-66.757
"3.4",0.2500,-59.285
"3.6",0.2500,-74.289
"3.7",0.5000,-58.190
"3.8",0.2500,-70.199
"3.9",1.5000,-66.726
"3.10",8.0000,-60.585
"3.11",8.0000,-63.490
"3.12",2.0000,-64.298
"3.12",2.0000,-60.597
"3.13",8.0000,-26.031
"3.14",4.0000,-57.083
"3.15",0.5000,-56.203
"3.15",0.5000,-55.856
"3.16",1.5000,-60.992
"3.17",1.0000,-59.442
"3.18",0.5000,-59.840
"3.21",4.0000,-68.567
"3.22",4.0000,-67.371
"3.23",8.0000,-46.989
"3.24",2.0000,-68.932
"3.25",0.2500,-73.290
"3.26",0.1200,-76.548
"3.27",8.0000,-56.485
"3.28",8.0000,-63.950
"3.29",2.0000,-61.370
"3.30",4.0000,-61.326
"3.30",4.0000,-60.314
"3.31",8.0000,-59.506
"3.31",8.0000,-58.949
"3.32",0.1200,-61.960
"3.33",0.2500,-61.084
"3.34",0.2500,-73.450
"3.35",1.0000,-64.076
"3.36",4.0000,-52.703
"3.37",1.0000,-72.979
"3.38",0.2500,-49.479
"3.39",2.0000,-65.093
"3.39",2.0000,-61.880
"3.40",8.0000,-62.466
"3.41",8.0000,-68.202
"3.42",4.0000,-65.364
"3.42",4.0000,-59.176
"3.43",2.0000,-67.655
"3.44",8.0000,-48.745
"3.45",0.5000,-49.358
"3.46",0.2500,-39.257
"3.47",0.2500,-64.144
"3.48",0.1300,-66.244
"3.49",0.0630,-62.284
"3.50",0.0630,-62.001
"3.51",0.5000,-63.562
"3.52",0.2500,-61.083
"3.52",0.2500,-60.679
"3.53",4.0000,-64.292
"3.53",4.0000,-41.574
"3.54",0.1250,-63.941
"3.55",1.0000,-60.999
"3.56",0.5000,-54.866
"3.57",1.0000,-52.248
"3.57",1.0000,-48.655
"3.58",0.2500,-70.892
"3.58",0.2500,-69.173
"3.59",8.0000,-59.229
"3.60",16.0000,-46.977
"3.61",16.0000,-47.883
"3.62",2.0000,-65.540
"4.6",0.0160,-61.200
"4.35",0.0080,-62.500
"4.36",0.0310,-63.144
"4.37",0.0160,-60.262
"4.38",0.0300,-60.466
"4.39",0.0300,-55.999
"4.40",0.0600,-60.163
"4.41",0.0500,-65.009
"4.42",4.0000,-60.780
"4.43",0.2500,-64.297
"4.44",0.1250,-54.718
"4.45",0.0310,-61.564
"4.45",0.0310,-59.415
"4.46",0.5000,-59.579
"4.47",0.2500,-57.772
"4.48",0.5000,-58.944
"4.49",0.0630,-64.015
"4.50",16.0000,-62.633
"4.51",0.0630,-60.388
"4.52",2.0000,-59.331
"4.53",0.2500,-60.273
"4.54",0.5000,-67.863
"4.55",1.0000,-62.051
"4.56",0.5000,-57.539
"4.57",0.0310,-57.981
"4.58",0.0160,-58.831
"4.59",0.0630,-59.922
"4.60",8.0000,-69.106
"4.61",32.0000,-30.923
"4.62",8.0000,-57.826
"4.63",0.1250,-65.222
"4.64",16.0000,-47.108
"4.65",16.0000,-52.520
"4.66",8.0000,-58.018
"4.67",0.2500,-61.702
"4.68",0.5000,-63.297
"4.69",2.0000,-56.692
"4.70",0.1250,-61.214
"4.71",16.0000,-53.576
"4.72",0.1250,-64.623
"4.73",0.5000,-59.404
"4.74",4.0000,-62.925
"4.75",16.0000,-47.450
"4.76",8.0000,-60.419
"4.77",16.0000,-61.667
"4.78",1.0000,-64.478
"4.79",1.0000,-65.801
"4.80",8.0000,-37.600
"4.81",1.0000,-64.909
"4.82",2.0000,-58.085
"4.83",64.0000,-46.881
"4.84",32.0000,-62.394
"4.85",64.0000,-58.082
"4.86",16.0000,-58.071
"4.87",16.0000,-61.899
"6.5",0.0200,-65.169
"6.6",0.0200,-57.737
"6.7",4.0000,-61.036
"6.8",0.0600,-66.386
"6.9",0.5000,-54.806
"6.10",1.0600,-59.615
"6.11",2.0000,-49.412
"6.12",8.0000,-56.079
"6.13",0.2500,-65.565
"6.14",0.5000,-52.352
"6.16",0.2500,-64.187
"6.18",2.0000,-61.844
"6.19",0.1300,-66.255
"6.19",0.1300,-34.621
"6.20",16.0000,-58.123
"6.21",0.0200,-63.997
"6.23",0.0300,-62.400
"6.24",16.0000,-62.855
"6.25",0.0300,-64.600
"AM8085",0.0160,-61.206
"AM8191",0.0200,-63.461
"AM8192",0.0600,-62.644
