"Title","MIC","MMGBSA dG Bind"
"2.7",0.2500,-71.463
"2.8",2.0000,-61.481
"3.4",0.2500,-71.463
"3.6",0.2500,-66.456
"3.7",0.5000,-71.704
"3.8",0.2500,-67.842
"3.9",1.5000,-52.389
"3.10",8.0000,-38.554
"3.11",8.0000,-70.364
"3.12",2.0000,-33.002
"3.12",2.0000,18.217
"3.13",8.0000,-67.051
"3.14",4.0000,-67.602
"3.15",0.5000,-71.570
"3.15",0.5000,-64.544
"3.16",1.5000,-69.775
"3.17",1.0000,-63.904
"3.18",0.5000,-63.710
"3.21",4.0000,-63.527
"3.22",4.0000,-55.812
"3.23",8.0000,-56.657
"3.24",2.0000,-58.042
"3.25",0.2500,-60.791
"3.26",0.1200,-59.150
"3.27",8.0000,-59.118
"3.28",8.0000,-50.229
"3.29",2.0000,-64.388
"3.30",4.0000,-64.450
"3.30",4.0000,-54.682
"3.31",8.0000,-64.659
"3.31",8.0000,-57.254
"3.32",0.1200,-64.557
"3.33",0.2500,-64.475
"3.34",0.2500,-63.185
"3.35",1.0000,-60.761
"3.36",4.0000,-55.934
"3.37",1.0000,-63.220
"3.38",0.2500,-69.453
"3.39",2.0000,-68.797
"3.39",2.0000,-63.933
"3.40",8.0000,-59.095
"3.41",8.0000,-69.414
"3.42",4.0000,-52.448
"3.42",4.0000,-32.472
"3.43",2.0000,-62.006
"3.44",8.0000,-59.017
"3.45",0.5000,-65.155
"3.46",0.2500,-58.091
"3.47",0.2500,-63.490
"3.48",0.1300,-63.452
"3.49",0.0630,-57.667
"3.50",0.0630,-63.807
"3.51",0.5000,-57.399
"3.52",0.2500,-42.670
"3.52",0.2500,-39.884
"3.53",4.0000,-54.828
"3.53",4.0000,-43.346
"3.54",0.1250,-62.442
"3.55",1.0000,-56.722
"3.56",0.5000,-42.826
"3.57",1.0000,-61.326
"3.57",1.0000,-36.931
"3.58",0.2500,-51.131
"3.58",0.2500,-45.275
"3.59",8.0000,9.555
"3.60",16.0000,-42.471
"3.61",16.0000,-61.534
"3.62",2.0000,-63.444
"4.6",0.0160,-59.195
"4.35",0.0080,-62.516
"4.36",0.0310,-56.599
"4.37",0.0160,-57.297
"4.38",0.0300,-52.611
"4.39",0.0300,-53.781
"4.40",0.0600,-61.898
"4.41",0.0500,-60.677
"4.42",4.0000,-46.793
"4.43",0.2500,-47.957
"4.44",0.1250,-52.294
"4.45",0.0310,-60.135
"4.45",0.0310,-55.328
"4.46",0.5000,-60.273
"4.47",0.2500,-59.755
"4.48",0.5000,-54.833
"4.49",0.0630,-61.576
"4.50",16.0000,-41.445
"4.51",0.0630,-60.673
"4.52",2.0000,-56.821
"4.53",0.2500,-53.413
"4.54",0.5000,-63.381
"4.55",1.0000,-60.685
"4.56",0.5000,-55.309
"4.57",0.0310,-63.381
"4.58",0.0160,-58.838
"4.59",0.0630,-62.048
"4.60",8.0000,-58.344
"4.61",32.0000,-58.935
"4.62",8.0000,-39.942
"4.63",0.1250,-59.465
"4.64",16.0000,-45.835
"4.65",16.0000,-48.355
"4.66",8.0000,-56.934
"4.67",0.2500,-58.257
"4.68",0.5000,-58.949
"4.69",2.0000,-44.772
"4.70",0.1250,-59.117
"4.71",16.0000,-53.544
"4.72",0.1250,-55.102
"4.73",0.5000,-51.305
"4.74",4.0000,-45.762
"4.75",16.0000,-60.536
"4.76",8.0000,-58.215
"4.77",16.0000,-22.960
"4.78",1.0000,-62.453
"4.79",1.0000,-53.839
"4.80",8.0000,-19.345
"4.81",1.0000,-45.202
"4.82",2.0000,-53.710
"4.83",64.0000,-52.064
"4.84",32.0000,-56.430
"4.85",64.0000,-57.328
"4.86",16.0000,-60.172
"4.87",16.0000,-35.334
"6.5",0.0200,-59.201
"6.6",0.0200,-62.453
"6.7",4.0000,-53.298
"6.8",0.0600,-49.762
"6.9",0.5000,-58.723
"6.10",1.0600,-45.626
"6.11",2.0000,-26.115
"6.12",8.0000,-35.905
"6.13",0.2500,-46.143
"6.14",0.5000,-59.255
"6.16",0.2500,-44.752
"6.18",2.0000,-39.071
"6.19",0.1300,-63.435
"6.19",0.1300,-50.011
"6.20",16.0000,-43.113
"6.21",0.0200,-53.296
"6.22",0.0300,-27.045
"6.23",0.0300,-73.018
"6.24",16.0000,-53.975
"6.25",0.0300,-42.941
"AM8085",0.0160,-59.194
"AM8191",0.0200,-72.791
"AM8192",0.0600,-60.825
